CMD: RECTANGLE, X: 0.0, Y: 0.0, W: 1200.0, H: 800.0
CMD: RECTANGLE, X: 0.0, Y: 0.0, W: 1200.0, H: 80.0
CMD: TEXT, X: 40.0, Y: 23.2, W: 107.8, H: 33.6
CMD: TEXT, X: 862.4, Y: 30.4, W: 114.4, H: 19.2
CMD: TEXT, X: 1006.8, Y: 30.4, W: 70.4, H: 19.2
CMD: TEXT, X: 1107.2, Y: 30.4, W: 52.8, H: 19.2
CMD: TEXT, X: 60.0, Y: 140.0, W: 607.2, H: 57.6
CMD: TEXT, X: 60.0, Y: 197.6, W: 607.2, H: 57.6
CMD: TEXT, X: 60.0, Y: 255.2, W: 79.2, H: 57.6
CMD: TEXT, X: 60.0, Y: 332.8, W: 594.0, H: 24.0
CMD: TEXT, X: 60.0, Y: 356.8, W: 583.0, H: 24.0
CMD: TEXT, X: 60.0, Y: 380.8, W: 242.0, H: 24.0
CMD: RECTANGLE, X: 60.0, Y: 424.8, W: 48.0, H: 261.6
CMD: TEXT, X: 84.0, Y: 436.8, W: 9.9, H: 21.6
CMD: TEXT, X: 84.0, Y: 458.4, W: 9.9, H: 21.6
CMD: TEXT, X: 84.0, Y: 480.0, W: 9.9, H: 21.6
CMD: TEXT, X: 84.0, Y: 501.6, W: 9.9, H: 21.6
CMD: TEXT, X: 84.0, Y: 523.2, W: 9.9, H: 21.6
CMD: TEXT, X: 84.0, Y: 544.8, W: 9.9, H: 21.6
CMD: TEXT, X: 84.0, Y: 566.4, W: 9.9, H: 21.6
CMD: TEXT, X: 84.0, Y: 588.0, W: 9.9, H: 21.6
CMD: TEXT, X: 84.0, Y: 609.6, W: 9.9, H: 21.6
CMD: TEXT, X: 84.0, Y: 631.2, W: 9.9, H: 21.6
CMD: TEXT, X: 84.0, Y: 652.8, W: 9.9, H: 21.6
CMD: RECTANGLE, X: 124.0, Y: 424.8, W: 48.0, H: 261.6
CMD: TEXT, X: 148.0, Y: 436.8, W: 9.9, H: 21.6
CMD: TEXT, X: 148.0, Y: 458.4, W: 9.9, H: 21.6
CMD: TEXT, X: 148.0, Y: 480.0, W: 9.9, H: 21.6
CMD: TEXT, X: 148.0, Y: 501.6, W: 9.9, H: 21.6
CMD: TEXT, X: 148.0, Y: 523.2, W: 9.9, H: 21.6
CMD: TEXT, X: 148.0, Y: 544.8, W: 9.9, H: 21.6
CMD: TEXT, X: 148.0, Y: 566.4, W: 9.9, H: 21.6
CMD: TEXT, X: 148.0, Y: 588.0, W: 9.9, H: 21.6
CMD: TEXT, X: 148.0, Y: 609.6, W: 9.9, H: 21.6
CMD: TEXT, X: 148.0, Y: 631.2, W: 9.9, H: 21.6
CMD: TEXT, X: 148.0, Y: 652.8, W: 9.9, H: 21.6
CMD: RECTANGLE, X: 724.0, Y: 140.0, W: 416.0, H: 300.0
CMD: RECTANGLE, X: 764.0, Y: 180.0, W: 336.0, H: 220.0
CMD: TEXT, X: 20.0, Y: 806.4, W: 140.8, H: 38.4
CMD: RECTANGLE, X: 20.0, Y: 836.4, W: 373.3, H: 0.0
CMD: TEXT, X: 44.0, Y: 860.4, W: 77.0, H: 24.0
CMD: TEXT, X: 44.0, Y: 872.4, W: 316.8, H: 19.2
CMD: RECTANGLE, X: 413.3, Y: 836.4, W: 373.3, H: 0.0
CMD: TEXT, X: 437.3, Y: 860.4, W: 110.0, H: 24.0
CMD: TEXT, X: 437.3, Y: 872.4, W: 281.6, H: 19.2
CMD: RECTANGLE, X: 806.7, Y: 836.4, W: 373.3, H: 0.0
CMD: TEXT, X: 830.7, Y: 860.4, W: 44.0, H: 24.0
CMD: TEXT, X: 830.7, Y: 872.4, W: 281.6, H: 19.2
